threshold,f1,precision,recall,mcc,surface
0.3549999999999999,0.8125,0.7732342007434945,0.8559670781893004,0.7266229553062745,out_of_fold_train
0.35999999999999993,0.8125613346418058,0.776735459662289,0.8518518518518519,0.7269230455109433,out_of_fold_train
0.36499999999999994,0.8145956607495068,0.7821969696969697,0.8497942386831275,0.7301509077281498,out_of_fold_train
0.36999999999999994,0.8134254689042448,0.7817836812144212,0.8477366255144033,0.7284893320369037,out_of_fold_train
0.37499999999999994,0.8166501486620417,0.7877629063097514,0.8477366255144033,0.7334308739599306,out_of_fold_train
0.37999999999999995,0.8190854870775348,0.7923076923076923,0.8477366255144033,0.7371653313411382,out_of_fold_train
0.38499999999999995,0.8191808191808192,0.7961165048543689,0.8436213991769548,0.7376264794838251,out_of_fold_train
0.38999999999999996,0.8216432865731463,0.80078125,0.8436213991769548,0.7414186060465842,out_of_fold_train
0.39499999999999996,0.8249496981891349,0.8070866141732284,0.8436213991769548,0.746514612160999,out_of_fold_train
0.3999999999999999,0.8257804632426989,0.8086785009861933,0.8436213991769548,0.7477958259748231,out_of_fold_train
0.4049999999999999,0.8299595141700404,0.8167330677290837,0.8436213991769548,0.7542459233319743,out_of_fold_train
0.4099999999999999,0.8263959390862944,0.8156312625250501,0.8374485596707819,0.749350667274809,out_of_fold_train
0.4149999999999999,0.8256880733944955,0.8181818181818182,0.8333333333333334,0.748701210691995,out_of_fold_train
0.41999999999999993,0.8265306122448981,0.819838056680162,0.8333333333333334,0.7500133129627762,out_of_fold_train
0.42499999999999993,0.8249744114636642,0.8207739307535642,0.8292181069958847,0.7480745340167844,out_of_fold_train
0.42999999999999994,0.8258196721311475,0.8224489795918367,0.8292181069958847,0.7493957000956449,out_of_fold_train
0.43499999999999994,0.8251028806584362,0.8251028806584362,0.8251028806584362,0.7488012648595134,out_of_fold_train
0.43999999999999995,0.8259526261585993,0.8268041237113402,0.8251028806584362,0.7501348086808117,out_of_fold_train
0.44499999999999995,0.8268041237113402,0.8285123966942148,0.8251028806584362,0.7514715496133634,out_of_fold_train
0.4499999999999999,0.82765737874097,0.8302277432712215,0.8251028806584362,0.7528115049390242,out_of_fold_train
0.4549999999999999,0.8286604361370716,0.8364779874213837,0.8209876543209876,0.7549776192685395,out_of_fold_train
0.4599999999999999,0.8291666666666666,0.8396624472573839,0.8189300411522634,0.7560892657449543,out_of_fold_train
0.4649999999999999,0.8326359832635983,0.8468085106382979,0.8189300411522634,0.7615800940032836,out_of_fold_train
0.4699999999999999,0.8319327731092436,0.8497854077253219,0.8148148148148148,0.7611434057323004,out_of_fold_train
0.4749999999999999,0.8308668076109937,0.8543478260869565,0.808641975308642,0.7605368036306513,out_of_fold_train
0.4799999999999999,0.831389183457052,0.8577680525164114,0.8065843621399177,0.7617599818118942,out_of_fold_train
0.48499999999999993,0.8319148936170213,0.8612334801762115,0.8045267489711934,0.7630041019426718,out_of_fold_train
0.48999999999999994,0.8315565031982943,0.8628318584070797,0.8024691358024691,0.7628390666126124,out_of_fold_train
0.49499999999999994,0.827807486631016,0.8619153674832962,0.7962962962962963,0.75806709800273,out_of_fold_train
0.49999999999999994,0.8286937901498931,0.8638392857142857,0.7962962962962963,0.7595026349937078,out_of_fold_train
0.5049999999999999,0.8304721030042918,0.8677130044843049,0.7962962962962963,0.7623850880826529,out_of_fold_train
0.5099999999999999,0.8313641245972073,0.8696629213483146,0.7962962962962963,0.7638320481980988,out_of_fold_train
0.5149999999999999,0.8275862068965516,0.8687782805429864,0.7901234567901234,0.7590778049508704,out_of_fold_train
0.5199999999999999,0.8268398268398268,0.8721461187214612,0.7860082304526749,0.7588297472328973,out_of_fold_train
0.5249999999999999,0.8251900108577632,0.8735632183908046,0.7818930041152263,0.7571352010948408,out_of_fold_train
0.5299999999999999,0.823529411764706,0.875,0.7777777777777778,0.7554503342750232,out_of_fold_train
0.5349999999999999,0.823529411764706,0.875,0.7777777777777778,0.7554503342750232,out_of_fold_train
0.5399999999999999,0.8262295081967213,0.8811188811188811,0.7777777777777778,0.7599111622219293,out_of_fold_train
0.5449999999999999,0.8232711306256861,0.8823529411764706,0.7716049382716049,0.7566855163706143,out_of_fold_train
0.5499999999999999,0.8215859030837004,0.8838862559241706,0.7674897119341564,0.7550450081406831,out_of_fold_train
0.5549999999999999,0.8211920529801325,0.8857142857142857,0.7654320987654321,0.7549865722860813,out_of_fold_train
0.5599999999999999,0.8181818181818182,0.8870192307692307,0.7592592592592593,0.7517944813675416,out_of_fold_train
0.565,0.8164627363737486,0.8886198547215496,0.7551440329218106,0.7501846206690864,out_of_fold_train
0.57,0.8138238573021181,0.8880778588807786,0.7510288065843621,0.747043392471873,out_of_fold_train
0.575,0.8085106382978723,0.8869778869778869,0.742798353909465,0.7407548726557232,out_of_fold_train
0.58,0.8058361391694725,0.8864197530864197,0.7386831275720165,0.7376074348643941,out_of_fold_train
0.585,0.8072153325817362,0.8927680798004988,0.7366255144032922,0.7407138631384398,out_of_fold_train
0.59,0.8067796610169491,0.8947368421052632,0.7345679012345679,0.7407164820891807,out_of_fold_train
0.595,0.8068181818181818,0.9010152284263959,0.7304526748971193,0.7423367160839341,out_of_fold_train
0.6,0.8054607508532423,0.9007633587786259,0.7283950617283951,0.7407743596843214,out_of_fold_train
0.605,0.8036529680365296,0.9025641025641026,0.7242798353909465,0.73924924686156,out_of_fold_train
0.61,0.801377726750861,0.9064935064935065,0.7181069958847737,0.7377921306651714,out_of_fold_train
0.615,0.7995391705069125,0.9083769633507853,0.7139917695473251,0.7363000001371219,out_of_fold_train
0.62,0.7967667436489608,0.9078947368421053,0.7098765432098766,0.7331825700828345,out_of_fold_train
0.625,0.7949015063731169,0.9098143236074271,0.7057613168724279,0.7317039826740869,out_of_fold_train
0.63,0.7953488372093024,0.9144385026737968,0.7037037037037037,0.7334483945821703,out_of_fold_train
0.635,0.7911318553092183,0.9137466307277629,0.6975308641975309,0.7287821084448672,out_of_fold_train
0.6399999999999999,0.7883040935672514,0.9132791327913279,0.6934156378600823,0.7256678408162619,out_of_fold_train
0.6449999999999999,0.7826086956521741,0.9123287671232877,0.6851851851851852,0.7194307591954647,out_of_fold_train
0.6499999999999999,0.7792207792207791,0.9141274238227147,0.6790123456790124,0.716433132555318,out_of_fold_train
0.6549999999999999,0.7748815165876778,0.9134078212290503,0.6728395061728395,0.7117477742198633,out_of_fold_train
0.6599999999999999,0.7705112960760998,0.9126760563380282,0.6666666666666666,0.7070551853416395,out_of_fold_train
0.6649999999999999,0.769047619047619,0.9124293785310734,0.6646090534979424,0.7054893319857312,out_of_fold_train
0.6699999999999999,0.766109785202864,0.9119318181818182,0.6604938271604939,0.7023550740864553,out_of_fold_train
0.6749999999999999,0.7616766467065869,0.9111747851002865,0.654320987654321,0.6976471428351055,out_of_fold_train
0.6799999999999999,0.7629362214199759,0.9188405797101449,0.6522633744855967,0.701271215217989,out_of_fold_train
0.6849999999999999,0.7608695652173912,0.9210526315789473,0.6481481481481481,0.6998905238922944,out_of_fold_train
